71,organization,an official group of people who work together for the same purpose,0,団体,会社,
72,organize,to plan or arrange something,0,計画する,取りまとめる,
73,participate,to be involved with other people in an activity,0,参加する,加わる,
74,particular,used to talk about one thing or person and not others,0,特定の,,
75,particularly,especially,0,特に,,
76,permanent,continuing forever or for a long time,0,常設の,永久の,
77,personnel,the people who work for an organization,0,社員,,
78,pleased,happy or satisfied,0,喜んで,満足して,
79,postpone,to arrange for something to happen at a later time,0,延期する,,
80,practical,relating to real situations or actions and not to thoughts or ideas,0,実際の,実務の,
81,priority,something that is very important and that must be dealt with before other things,0,優先順位,,
82,procedure,the official or usual way of doing something,0,手順,,
83,proceed,to continue as planned,0,進む,,
84,profit,money that you get from selling goods or services for more than they cost to produce or provide,0,利益,,
85,proof,a fact or a piece of information that shows something exists or is true,0,証明,,
86,properly,correctly/ or in a satisfactory way,0,適切に,ちゃんと,
87,property,a building or area of land,0,不動産,,
88,prove,to show that something is true,0,証明する,,
89,recognize,to know someone or something because you have seen or experienced them before,0,認識する,に見覚えがある,
90,used to ,,0,前は～だった,,
91,whole,complete/ including every part,0,全体の,,
92,reference,the act of looking at information/ or the thing that you look at for information:,0,紹介先,紹介,
93,refund,an amount of money that is given back to you/ especially because you are not happy with something you have bought,0,返金,,
94,regard,to think of someone or something in a particular way:,0,~を（～と）みなす,,
95,regret,to feel sorry about a situation/ especially something that you wish you had not done,0,残念に思う,,
96,relatively,quite/ when compared to other things or people,0,比較的,,
97,quite,a little or a lot but not completely,0,,,
98,quiet,making little or no noise,0,静か,,
99,quit,to leave your job or school permanently,0,やめる,,
100,replacement,the thing or person that replaces something or someone,0,交換,後任,
101,represent,to be a sign or symbol of something,0,代表を務める,代弁する,
102,representative,someone who speaks or does something officially for another person,0,代表者,代理人,
103,reserve,to arrange to have a seat on an aircraft/ a room in a hotel/ etc,0,予約する,,
104,satisfied,pleased because you have got what you wanted/ or because something has happened in the way that you wanted,0,満足した,,
105,simply,in a way which is not complicated or not difficult to understand,0,簡単な,単純に,
106,slightly,a little,0,少し,わずかに,
107,specific,used to refer to a particular thing and not something general,0,具体的な,,
108,supply,to provide things that people want or need/ often over a long period of time,0,必需品,,
109,transfer,to move someone or something from one place to another,0,転勤させる,移動させる,
110,transport,a vehicle or system of vehicles/ such as buses/ trains/ aircraft/ etc for getting from one place to another,0,運ぶ,輸送する,
111,transform,to change something completely/ usually to improve it,0,変形する,,
112,translate,to change written or spoken words from one language to another,0,商取引,資金決済,
113,transaction,the buying or selling of something/ or an exchange of money,0,翻訳,,
114,vote,to show your choice or opinion in an election or meeting by writing a cross on an official piece of paper or putting your hand up,0,投票する,,
115,warranty,a written promise made by a company to change or repair one of its products if it has a fault,0,保証,保証書,
116,worth,,0,価値,,
